Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_EMA(C,50)","Exit_EMA(C,50)"
9,15,92,103606.5,103749.08,,,1283.2200000000157,0.0013761684836375299,2025-05-13 15:45:00,2025-05-14 11:00:00,0 days 19:15:00,,103539.90687749456,103693.44827240473,103534.27651765557,103657.93891446308,103605.61335457825,103761.4036650278
9,92,132,103749.08,103555.51,,,-1742.1300000000629,-0.0018657514842541634,2025-05-14 11:00:00,2025-05-14 21:00:00,0 days 10:00:00,,103693.44827240473,103456.95513478182,103657.93891446308,103430.89527389774,103761.4036650278,103540.65229454817
9,132,194,103555.51,102549.46,,,-9054.449999999895,-0.009715079381097058,2025-05-14 21:00:00,2025-05-15 12:30:00,0 days 15:30:00,,103456.95513478182,102334.56341525835,103430.89527389774,102235.80558917411,103540.65229454817,102492.6370556245
9,194,207,102549.46,103000.01,,,4054.949999999895,0.004393489736562062,2025-05-15 12:30:00,2025-05-15 15:45:00,0 days 03:15:00,,102334.56341525835,102520.29011607937,102235.80558917411,102366.92025464104,102492.6370556245,102494.09403691212
9,207,298,103000.01,103963.62,,,8672.490000000005,0.009355435984909066,2025-05-15 15:45:00,2025-05-16 14:30:00,0 days 22:45:00,,102520.29011607937,103664.10640100928,102366.92025464104,103681.03292639906,102494.09403691212,103701.52871856194
9,298,301,103963.62,104130.08,,,1498.1400000000576,0.0016011370131205904,2025-05-16 14:30:00,2025-05-16 15:15:00,0 days 00:45:00,,103664.10640100928,103769.76535731678,103681.03292639906,103727.67533162962,103701.52871856194,103729.95243858015
9,301,353,104130.08,103515.18,,,-5534.100000000079,-0.005905114065023365,2025-05-16 15:15:00,2025-05-17 04:15:00,0 days 13:00:00,,103769.76535731678,103390.44138452623,103727.67533162962,103353.54665073543,103729.95243858015,103509.81987103928
9,353,398,103515.18,103091.25,,,-3815.369999999937,-0.004095341378916539,2025-05-17 04:15:00,2025-05-17 15:30:00,0 days 11:15:00,,103390.44138452623,103024.84810384347,103353.54665073543,103019.52094939289,103509.81987103928,103115.03180997992
9,398,406,103091.25,103189.07,,,880.3800000000629,0.0009488681144131927,2025-05-17 15:30:00,2025-05-17 17:30:00,0 days 02:00:00,,103024.84810384347,103077.63795321214,103019.52094939289,103039.45870406575,103115.03180997992,103081.00762456667
9,406,433,103189.07,103139.72,,,-444.1500000000524,-0.00047824832610665613,2025-05-17 17:30:00,2025-05-18 00:15:00,0 days 06:45:00,,103077.63795321214,103151.77158871981,103039.45870406575,103136.86451110702,103081.00762456667,103147.71272727395
